Name,X,Y,Z
BRO_424,488422.474,5148159.655,1
BRO_428,488482.474,5148159.655,1
BRO_391,488467.474,5148204.655,1
BRO_186,488482.474,5148039.655,1
BRO_410,488407.474,5148174.655,1
BRO_402,488467.474,5148189.655,1
BRO_380,488467.474,5148219.655,1
BRO_374,488377.474,5148219.655,1
BRO_356,488392.474,5148249.655,1
DAM_11,489059.793,5147910.998,1
BRO_187,488497.474,5148039.655,1
BRO_397,488392.474,5148189.655,1
BRO_386,488392.474,5148204.655,1
BRO_392,488482.474,5148204.655,1
BRO_364,488377.474,5148234.655,1
BRO_365,488392.474,5148234.655,1
DAM_6,489566.491,5148219.698,1
NT-MW5-37,487658,5147392,0.63
NT-MW5-24,487660,5147392,0.61
NT-MW14-36,489171,5148716,0.5
NT-MW41,488873,5148691,0.45
CN-MW29-4,485530,5146924,0.32
CN-MW24-5,485889,5146903,0.22
BRO_6,487723.788,5148234.325,0
BRO_4,487731.549,5148245.811,0
BRO_111,487732.474,5148234.655,0
BRO_5,487741.483,5148239.913,0
BRO_7,487733.101,5148225.012,0
BRO_459,488377.474,5148099.655,0
BRO_460,488392.474,5148099.655,0
BRO_319,488887.474,5148894.655,0
BRO_324,488902.474,5148879.655,0
BRO_320,488902.474,5148894.655,0
BRO_337,488917.474,5148834.655,0
BRO_323,488887.474,5148879.655,0
BRO_453,488392.474,5148114.655,0
BRO_333,488902.474,5148849.655,0
BRO_463,488437.474,5148099.655,0
BRO_318,488917.474,5148909.655,0
BRO_321,488917.474,5148894.655,0
BRO_322,488932.474,5148894.655,0
BRO_329,488902.474,5148864.655,0
BRO_431,488347.474,5148144.655,0
BRO_432,488362.474,5148144.655,0
BRO_452,488377.474,5148114.655,0
BRO_462,488422.474,5148099.655,0
BRO_454,488407.474,5148114.655,0
BRO_170,488512.474,5148069.655,0
BRO_451,488362.474,5148114.655,0
BRO_406,488347.474,5148174.655,0
BRO_336,488947.474,5148849.655,0
BRO_325,488917.474,5148879.655,0
BRO_461,488407.474,5148099.655,0
BRO_457,488452.474,5148114.655,0
BRO_332,488947.474,5148864.655,0
BRO_327,488947.474,5148879.655,0
BRO_334,488917.474,5148849.655,0
BRO_455,488422.474,5148114.655,0
BRO_444,488392.474,5148129.655,0
BRO_168,488482.474,5148069.655,0
BRO_464,488392.474,5148084.655,0
BRO_420,488362.474,5148159.655,0
BRO_446,488422.474,5148129.655,0
BRO_335,488932.474,5148849.655,0
BRO_169,488497.474,5148069.655,0
BRO_433,488377.474,5148144.655,0
BRO_394,488347.474,5148189.655,0
BRO_442,488362.474,5148129.655,0
BRO_445,488407.474,5148129.655,0
BRO_458,488467.474,5148114.655,0
BRO_383,488347.474,5148204.655,0
BRO_434,488392.474,5148144.655,0
BRO_326,488932.474,5148879.655,0
BRO_465,488407.474,5148084.655,0
BRO_331,488932.474,5148864.655,0
BRO_419,488347.474,5148159.655,0
BRO_447,488437.474,5148129.655,0
BRO_330,488917.474,5148864.655,0
BRO_443,488377.474,5148129.655,0
BRO_435,488407.474,5148144.655,0
BRO_407,488362.474,5148174.655,0
BRO_448,488452.474,5148129.655,0
BRO_417,488512.474,5148174.655,0
BRO_177,488482.474,5148054.655,0
BRO_418,488527.474,5148174.655,0
